"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Calicut Juice Point"|"150"|"Juices,Beverages"|"Thrissur"|"Poothole"|"https://www.zomato.com/thrissur/calicut-juice-point-poothole/info"|"7"|"Beverage Shop"|"9am to 10pm(Mon-Sun)"|"Average"|"3.2"|"5"
"EFC Mission Quarters"|"300"|"Burger,Fast Food"|"Thrissur"|"Kizhakkumpattukara"|"https://www.zomato.com/thrissur/efc-mission-quarters-kizhakkumpattukara/info"|"7"|"Quick Bites"|"9am to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Almonds Bakes and Restaurant"|"250"|"South Indian,Bakery"|"Thrissur"|"Poothole"|"https://www.zomato.com/thrissur/almonds-bakes-and-restaurant-poothole/info"|"7"|"Bakery"|"7am to 10pm(Mon-Sun)"|"Average"|"3.2"|"4"
"Ammu Multicuisine Restaurant"|"250"|"South Indian,Kerala"|"Thrissur"|"Kizhakkumpattukara"|"https://www.zomato.com/thrissur/ammu-multicuisine-restaurant-kizhakkumpattukara/info"|"7"|"Quick Bites"|"9am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Big Burger"|"250"|"Burger,Beverages"|"Thrissur"|"Poothole"|"https://www.zomato.com/thrissur/big-burger-poothole/info"|"7"|"Quick Bites"|"11am to 930pm(Mon-Sun)"|"Average"|"3.3"|"4"
"Burger TX1880"|"200"|"Burger"|"Thrissur"|"Poothole"|"https://www.zomato.com/thrissur/burger-tx1880-poothole/info"|"7"|"Quick Bites"|"930am to 9pm(Mon-Sun)"|"Average"|"3.2"|"6"
"Mumbai Tadka"|"350"|"North Indian,Chinese"|"Thrissur"|"Kizhakkumpattukara"|"https://www.zomato.com/thrissur/mumbai-tadka-1-kizhakkumpattukara/info"|"7"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Average"|"3.2"|"6"
"Lulu International Convention And Garden Hotels"|"500"|"Chinese,North Indian,Continental"|"Thrissur"|"Ayyanthole"|"https://www.zomato.com/thrissur/lulu-international-convention-and-garden-hotels-ayyanthole/info"|"7"|"Quick Bites"|"730am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Gift Hotel"|"250"|"Arabian,Chinese,South Indian"|"Thrissur"|"Ollur"|"https://www.zomato.com/thrissur/gift-hotel-ollur/info"|"7"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"The Burger Street Cafe"|"500"|"Burger,Beverages"|"Thrissur"|"Ayyanthole"|"https://www.zomato.com/thrissur/the-burger-street-cafe-ayyanthole/info"|"7"|"Quick Bites"|"11am to 10pm(Mon-Sat),2pm to 10pm(Sun)"|"Average"|"3.2"|"4"
"Athithi"|"1000"|"South Indian,North Indian,Chinese"|"Thrissur"|"Poothole"|"https://www.zomato.com/thrissur/athithi-poothole/info"|"7"|"Fine Dining"|"730am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Sree Nandini"|"300"|"South Indian"|"Thrissur"|"Peringavu"|"https://www.zomato.com/thrissur/sree-nandini-peringavu/info"|"7"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"8"
"Kurthuba"|"500"|"Chinese,North Indian,South Indian"|"Thrissur"|"Puzhakkal"|"https://www.zomato.com/thrissur/kurthuba-puzhakkal/info"|"7"|"Food Court"|"11am to 1am(Mon-Sun)"|"Average"|"3.4"|"6"
"Yaaz Fried Chicken"|"300"|"North Indian,Finger Food"|"Thrissur"|"Mannuthy"|"https://www.zomato.com/thrissur/yaaz-fried-chicken-mannuthy/info"|"7"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Fruitage"|"200"|"Juices"|"Thrissur"|"Poothole"|"https://www.zomato.com/thrissur/fruitage-1-poothole/info"|"7"|"Beverage Shop"|"1030am to 9pm(Mon-Sun)"|"None"|"NEW"|"NEW"
