"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Tabun An Arabic Restaurant"|"400"|"Desserts,Seafood,BBQ,Arabian,Lebanese,Kebab,Rolls"|"Tirupati"|"Tirumala"|"https://www.zomato.com/tirupati/tabun-an-arabic-restaurant-1-tirumala/info"|"10"|"none"|"1130am to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Plantain Leaf-Pai Viceroy"|"400"|"South Indian,Biryani,North Indian"|"Tirupati"|"Tirumala"|"https://www.zomato.com/tirupati/plantain-leaf-pai-viceroy-tirumala/info"|"10"|"Casual Dining"|"7am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"OYALO"|"200"|"Ice Cream"|"Tirupati"|"Pudipatla"|"https://www.zomato.com/tirupati/oyalo-pudipatla/info"|"10"|"Dessert Parlor"|"12noon to 1130pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Vihaari Family Restaurant"|"300"|"Biryani,Chinese"|"Tirupati"|"Tirumala"|"https://www.zomato.com/tirupati/vihaari-family-restaurant-tirumala/info"|"10"|"Café"|"11am to 1130pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Kalyan Residency"|"200"|"North Indian,South Indian"|"Tirupati"|"Tirumala"|"https://www.zomato.com/tirupati/kalyan-residency-tirumala/info"|"10"|"none"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Manal Restaurants"|"700"|"Biryani,North Indian,Chinese"|"Tirupati"|"Tirumala"|"https://www.zomato.com/tirupati/manal-restaurants-tirumala/info"|"10"|"Casual Dining"|"1130am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Ice  Stone"|"200"|"Ice Cream"|"Tirupati"|"Tirumala"|"https://www.zomato.com/tirupati/ice-stone-tirumala/info"|"10"|"Dessert Parlor"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Pizza Toppers"|"100"|"Sandwich,Pizza"|"Tirupati"|"Tirumala"|"https://www.zomato.com/tirupati/pizza-toppers-tirumala/info"|"10"|"none"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Crazy  Pizza"|"200"|"Pizza"|"Tirupati"|"Tirumala"|"https://www.zomato.com/tirupati/crazy-pizza-tirumala/info"|"10"|"Quick Bites"|"930am to 1045pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Sun Light"|"300"|"North Indian,Biryani"|"Tirupati"|"Tirumala"|"https://www.zomato.com/tirupati/hotel-sun-light-tirumala/info"|"10"|"Casual Dining"|"1030am to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Little Scoops"|"150"|"Burger,Fast Food"|"Tirupati"|"Tirumala"|"https://www.zomato.com/tirupati/little-scoops-tirumala/info"|"10"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Woodside"|"500"|"North Indian,South Indian"|"Tirupati"|"Tirumala"|"https://www.zomato.com/tirupati/hotel-woodside-tirumala/info"|"10"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Lasa Food Court"|"400"|"North Indian,Chinese"|"Tirupati"|"Tirumala"|"https://www.zomato.com/tirupati/lasa-food-court-1-tirumala/info"|"10"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Gufha-Hotel Pai Viceroy"|"700"|"Biryani,Desserts,North Indian,Chinese"|"Tirupati"|"Tirumala"|"https://www.zomato.com/tirupati/gufha-hotel-pai-viceroy-tirumala/info"|"10"|"Casual Dining"|"1230pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Sai Kitchens"|"300"|"Fast Food,South Indian"|"Tirupati"|"Tirumala"|"https://www.zomato.com/tirupati/sai-kitchens-tirumala/info"|"10"|"none"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
