"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Candy Restaurant"|"500"|"South Indian,North Indian"|"Trichy"|"Srirangam"|"https://www.zomato.com/trichy/candy-restaurant-1-srirangam/info"|"13"|"Casual Dining"|"8am to 11pm(Mon-Sun)"|"Good"|"3.6"|"15"
"ESHWARS TIFFIN BOX"|"100"|"South Indian"|"Trichy"|"Thillai Nagar"|"https://www.zomato.com/trichy/eshwars-tiffin-box-thillai-nagar/info"|"13"|"Casual Dining"|"630am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Maghai Restuarant"|"200"|"Fast Food"|"Trichy"|"Tharanallur"|"https://www.zomato.com/trichy/maghai-restuarant-tharanallur/info"|"13"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"11"
"Hotel Sree"|"150"|"South Indian"|"Trichy"|"Karumandapam"|"https://www.zomato.com/trichy/hotel-sree-karumandapam/info"|"13"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"2.9"|"6"
"Cakes and Pizzas"|"300"|"Bakery,Pizza,Desserts"|"Trichy"|"Thillai Nagar"|"https://www.zomato.com/trichy/cakes-and-pizzas-thillai-nagar/info"|"13"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Surabi Restaurant"|"600"|"Chinese,North Indian,South Indian"|"Trichy"|"Woraiyur"|"https://www.zomato.com/trichy/surabi-restaurant-woraiyur/info"|"13"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Sankar Cafe"|"300"|"North Indian,South Indian"|"Trichy"|"Sangillyandapuram"|"https://www.zomato.com/trichy/sankar-cafe-sangillyandapuram/info"|"13"|"Casual Dining"|"630am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Aachi Chettinadu Mess"|"400"|"South Indian,Chettinad"|"Trichy"|"Kattur"|"https://www.zomato.com/trichy/aachi-chettinadu-mess-kattur/info"|"13"|"Casual Dining"|"1130am to 3am(Mon-Sun)"|"Not rated"|"-"|"-"
"Kudumbam Mess"|"250"|"South Indian"|"Trichy"|"Thillai Nagar"|"https://www.zomato.com/trichy/kudumbam-mess-thillai-nagar/info"|"13"|"Mess"|"11am to 11pm(Mon-Sun)"|"Average"|"3.1"|"5"
"Ambur Biriyani"|"200"|"Biryani"|"Trichy"|"Sangillyandapuram"|"https://www.zomato.com/trichy/ambur-biriyani-sangillyandapuram/info"|"13"|"Quick Bites"|"12noon to 2am(Mon-Sun)"|"Average"|"3.3"|"12"
"HOTEL SRI ANBILS"|"350"|"South Indian"|"Trichy"|"Srirangam"|"https://www.zomato.com/trichy/hotel-sri-anbils-srirangam/info"|"13"|"Casual Dining"|"7am to 1030am,8pm to 1030pm,1pm to 330pm..."|"Average"|"2.9"|"4"
"VF 2 BIRIYANI CORNER"|"250"|"South Indian,Fast Food,Chettinad,Biryani"|"Trichy"|"Woraiyur"|"https://www.zomato.com/trichy/vf-2-biriyani-corner-woraiyur/info"|"13"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Famous Bombay Kulfi"|"150"|"Desserts"|"Trichy"|"Thillai Nagar"|"https://www.zomato.com/trichy/famous-bombay-kulfi-thillai-nagar/info"|"13"|"Dessert Parlor"|"10am to 1030pm(Mon-Sun)"|"Average"|"3.2"|"5"
"The New Kovilakam Restaurant"|"400"|"South Indian,North Indian,Fast Food"|"Trichy"|"Kattur"|"https://www.zomato.com/trichy/the-new-kovilakam-restaurant-kattur/info"|"13"|"Casual Dining"|"7am to 11pm(Mon-Sun)"|"Average"|"2.8"|"4"
"Chaat Cafe"|"100"|"Street Food"|"Trichy"|"Thillai Nagar"|"https://www.zomato.com/trichy/chaat-cafe-thillai-nagar/info"|"13"|"Kiosk"|"430pm to 1030pm(Mon-Sun)"|"Not rated"|"-"|"-"
