"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Slice of Spice"|"350"|"Arabian"|"Trivandrum"|"Kulathoor"|"https://www.zomato.com/trivandrum/slice-of-spice-kulathoor/info"|"8"|"Casual Dining"|"12noon to 11pm(Mon-Sun)"|"Good"|"3.6"|"7"
"Streetlight Cafe"|"400"|"Continental"|"Trivandrum"|"Ambalamukku"|"https://www.zomato.com/trivandrum/streetlight-cafe-ambalamukku/info"|"8"|"Quick Bites"|"11am to 9pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Amritha"|"300"|"South Indian,North Indian,Chinese"|"Trivandrum"|"Ulloor"|"https://www.zomato.com/trivandrum/hotel-amritha-ulloor/info"|"8"|"Casual Dining"|"7am to 10pm(Mon-Sun)"|"Average"|"3.1"|"4"
"Bread Line Baker's"|"300"|"Bakery"|"Trivandrum"|"Vazhuthacaud"|"https://www.zomato.com/trivandrum/bread-line-bakers-vazhuthacaud/info"|"8"|"Bakery"|"10am to 930pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Mooncity"|"350"|"South Indian"|"Trivandrum"|"Ulloor"|"https://www.zomato.com/trivandrum/hotel-mooncity-ulloor/info"|"8"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"17"
"Eggs & Co"|"200"|"Beverages,Desserts"|"Trivandrum"|"Kovalam"|"https://www.zomato.com/trivandrum/eggs-co-kovalam/info"|"8"|"Beverage Shop"|"11am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Palathraa"|"200"|"South Indian,Biryani"|"Trivandrum"|"Ambalamukku"|"https://www.zomato.com/trivandrum/palathraa-ambalamukku/info"|"8"|"Quick Bites"|"8am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Sri Aiswariya"|"250"|"South Indian,North Indian,Kerala"|"Trivandrum"|"Sasthamangalam"|"https://www.zomato.com/trivandrum/hotel-sri-aiswariya-sasthamangalam/info"|"8"|"Casual Dining"|"7am to 10pm(Mon-Sun)"|"Average"|"3.0"|"7"
"Pappai Ice Creams"|"200"|"Ice Cream"|"Trivandrum"|"Kulathoor"|"https://www.zomato.com/trivandrum/pappai-ice-creams-kulathoor/info"|"8"|"Dessert Parlor"|"11am to 3pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Hotel Anandhaas"|"250"|"South Indian"|"Trivandrum"|"Thycaud"|"https://www.zomato.com/trivandrum/hotel-anandhaas-thycaud/info"|"8"|"Quick Bites"|"7am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Annapathi Pure Vegetarian Restaurant"|"200"|"Fast Food,South Indian"|"Trivandrum"|"Kannanthura"|"https://www.zomato.com/trivandrum/annapathi-pure-vegetarian-restaurant-kannanthura/info"|"8"|"Quick Bites"|"5am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Tiffin 4 Me"|"200"|"South Indian"|"Trivandrum"|"Kulathoor"|"https://www.zomato.com/trivandrum/tiffin-4-me-kulathoor/info"|"8"|"Quick Bites"|"11am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Kuppi"|"200"|"Beverages"|"Trivandrum"|"Ambalamukku"|"https://www.zomato.com/trivandrum/kuppi-ambalamukku/info"|"8"|"Beverage Shop"|"11am to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Noor Mahal"|"800"|"Kerala,Chinese"|"Trivandrum"|"Palayam"|"https://www.zomato.com/trivandrum/noor-mahal-palayam/info"|"8"|"Casual Dining"|"1130am to 1130pm(Mon-Sun)"|"Good"|"3.7"|"16"
"Hungrella"|"350"|"South Indian,Seafood,Chinese"|"Trivandrum"|"Kesavadasapuram"|"https://www.zomato.com/trivandrum/hungrella-kesavadasapuram/info"|"8"|"Quick Bites"|"12noon to 10pm(Mon-Sun)"|"Not rated"|"-"|"-"
