"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Green Tree Restaurant"|"200"|"North Indian"|"Udaipur"|"Hiran Magri"|"https://www.zomato.com/udaipur/green-tree-restaurant-hiran-magri/info"|"30"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.2"|"7"
"Jag Niwas Rooftop Restaurant"|"500"|"North Indian,Fast Food"|"Udaipur"|"Chandpole"|"https://www.zomato.com/udaipur/jag-niwas-rooftop-restaurant-chandpole/info"|"30"|"Casual Dining"|"8am to 11pm(Mon-Sun)"|"Average"|"2.6"|"21"
"Tequila Restaurant"|"400"|"North Indian"|"Udaipur"|"Bhuwana"|"https://www.zomato.com/udaipur/tequila-restaurant-bhuwana/info"|"30"|"Casual Dining"|"1030am to 1130pm(Mon-Sun)"|"Average"|"3.2"|"9"
"Doctor Cafe"|"800"|"Continental,North Indian,Italian,Cafe"|"Udaipur"|"Chandpole"|"https://www.zomato.com/udaipur/doctor-cafe-chandpole/info"|"30"|"Casual Dining"|"9am to 1130pm(Mon-Sun)"|"Average"|"3.4"|"19"
"Lakecity Bakery"|"300"|"Desserts,Bakery"|"Udaipur"|"Shobhagpura"|"https://www.zomato.com/udaipur/lakecity-bakery-shobhagpura/info"|"30"|"Bakery"|"11am to 1030pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"The Cafe Gupshup"|"300"|"Cafe,Fast Food"|"Udaipur"|"Ganesh Nagar"|"https://www.zomato.com/udaipur/the-cafe-gupshup-1-ganesh-nagar/info"|"30"|"Café"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"16"
"Mewar Kitchen"|"400"|"North Indian"|"Udaipur"|"Panchwati"|"https://www.zomato.com/udaipur/mewar-kitchen-panchwati/info"|"30"|"Casual Dining"|"9am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"#Foodiz"|"350"|"Italian,Mexican,Fast Food,Chinese"|"Udaipur"|"Pichola"|"https://www.zomato.com/udaipur/foodiz-pichola/info"|"30"|"Quick Bites"|"9am to 11pm(Mon-Sun)"|"Average"|"3.4"|"11"
"The Waffle Story"|"200"|"Desserts"|"Udaipur"|"City Centre"|"https://www.zomato.com/udaipur/the-waffle-story-city-centre/info"|"30"|"Dessert Parlor"|"12noon to 12midnight(Mon-Sun)"|"Average"|"3.0"|"6"
"The Indian Pizzeria"|"300"|"Pizza"|"Udaipur"|"Panchwati"|"https://www.zomato.com/the-indian-pizzeria-food-truck/info"|"30"|"Food Truck"|"530pm to 1030pm(Mon-Sun)"|"Good"|"3.5"|"17"
"Eagle Restaurant"|"400"|"South Indian,North Indian"|"Udaipur"|"City Centre"|"https://www.zomato.com/udaipur/eagle-restaurant-city-centre/info"|"30"|"Quick Bites"|"930pm to 1030pm(Mon-Sat),Closed(Sun)"|"Average"|"2.9"|"11"
"Night Food Delivery by TRC"|"300"|"North Indian,Fast Food"|"Udaipur"|"Chandpole"|"https://www.zomato.com/udaipur/night-food-delivery-by-trc-chandpole/info"|"30"|"Quick Bites"|"9pm to 4am(Mon-Sun)"|"Average"|"3.3"|"8"
"Rang Niwas Mishthan"|"150"|"Mithai"|"Udaipur"|"Chandpole"|"https://www.zomato.com/udaipur/rang-niwas-mishthan-chandpole/info"|"30"|"Dessert Parlor"|"9am to 1130pm(Mon-Sun)"|"Average"|"3.2"|"18"
"Havmor"|"200"|"Ice Cream,Desserts"|"Udaipur"|"Shobhagpura"|"https://www.zomato.com/udaipur/havmor-shobhagpura/info"|"30"|"Dessert Parlor"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"13"
"Panini La Barra"|"200"|"North Indian"|"Udaipur"|"Ayad Rural"|"https://www.zomato.com/udaipur/panini-la-barra-ayad-rural/info"|"30"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"11"
