"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Sardar Pav Bhaji & Pulao"|"200"|"Street Food"|"Vadodara"|"Karelibaug"|"https://www.zomato.com/vadodara/sardar-pav-bhaji-pulao-karelibaug/info"|"72"|"Quick Bites"|"7pm to 12midnight(Mon-Sun)"|"Average"|"3.1"|"6"
"China Town"|"150"|"South Indian,North Indian"|"Vadodara"|"Diwalipura"|"https://www.zomato.com/vadodara/china-town-diwalipura/info"|"72"|"Quick Bites"|"1pm to 11pm(Mon-Sun)"|"Average"|"3.2"|"8"
"Thugs Of Panipuri"|"250"|"Fast Food"|"Vadodara"|"Manjalpur"|"https://www.zomato.com/vadodara/thugs-of-panipuri-manjalpur/info"|"72"|"Quick Bites"|"2pm to 11pm(Mon-Sun)"|"Average"|"3.2"|"8"
"Shree Kismat Kathiyawadi Restaurant"|"300"|"North Indian,Gujarati"|"Vadodara"|"Gorwa"|"https://www.zomato.com/vadodara/shree-kismat-kathiyawadi-restaurant-gorwa/info"|"72"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.0"|"8"
"Bapu Ka Chataka"|"350"|"North Indian,Chinese"|"Vadodara"|"Karelibaug"|"https://www.zomato.com/vadodara/bapu-ka-chataka-karelibaug/info"|"72"|"Quick Bites"|"7pm to 3am(Mon-Sun)"|"Average"|"3.0"|"4"
"Real Punjabi"|"300"|"North Indian"|"Vadodara"|"Nizampura"|"https://www.zomato.com/vadodara/real-punjabi-nizampura/info"|"72"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Marz O Rin"|"300"|"North Indian,Chinese"|"Vadodara"|"Nizampura"|"https://www.zomato.com/vadodara/marz-o-rin-nizampura/info"|"72"|"Quick Bites"|"1030am to 3pm,6pm to 11pm(Mon-Sun)"|"Average"|"3.0"|"4"
"Halaji Kathiyawadi"|"500"|"North Indian"|"Vadodara"|"Karelibaug"|"https://www.zomato.com/vadodara/halaji-kathiyawadi-karelibaug/info"|"72"|"Casual Dining"|"1030am to 3pm,630pm to 11pm(Mon-Sun)"|"Average"|"3.1"|"13"
"Patel Ice Cream"|"100"|"Desserts,Juices"|"Vadodara"|"Gorwa"|"https://www.zomato.com/vadodara/patel-ice-cream-gorwa/info"|"72"|"Beverage Shop"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Beans & Balls Cafe"|"300"|"Pizza,Fast Food,Burger"|"Vadodara"|"Fatehgunj"|"https://www.zomato.com/vadodara/beans-balls-cafe-fatehgunj/info"|"72"|"Café"|"8am to 1130pm(Mon-Sun)"|"Average"|"3.0"|"11"
"Tummy Fillers"|"300"|"Fast Food"|"Vadodara"|"Nizampura"|"https://www.zomato.com/vadodara/tummy-fillers-nizampura/info"|"72"|"Quick Bites"|"1030am to 1130pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Upvan Family Restaurant"|"400"|"North Indian,Chinese"|"Vadodara"|"Karelibaug"|"https://www.zomato.com/vadodara/upvan-family-restaurant-karelibaug/info"|"72"|"Quick Bites"|"11am to 3pm,7pm to 11pm(Mon-Sun)"|"Average"|"3.2"|"9"
"Bread House"|"200"|"Sandwich"|"Vadodara"|"Tarsali"|"https://www.zomato.com/vadodara/bread-house-1-tarsali/info"|"72"|"none"|"9pm to 5am(Mon-Sun)"|"Average"|"3.4"|"16"
"Khan Chacha's Pan Shop"|"100"|"Paan"|"Vadodara"|"Diwalipura"|"https://www.zomato.com/vadodara/khan-chachas-pan-shop-diwalipura/info"|"72"|"Paan Shop"|"5pm to 12midnight(Mon-Sun)"|"Average"|"3.2"|"12"
"Pearl Restaurant"|"350"|"North Indian,Chinese"|"Vadodara"|"Alkapuri"|"https://www.zomato.com/vadodara/pearl-restaurant-alkapuri/info"|"72"|"Quick Bites"|"11am to 4pm,6pm to 12midnight(Mon-Sun)"|"Average"|"3.3"|"15"
