"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"King Lucknow Biryani Chicken Corner"|"200"|"Mughlai,Biryani"|"Varanasi"|"Bhelupur"|"https://www.zomato.com/varanasi/king-lucknow-biryani-chicken-corner-bhelupur/info"|"12"|"Casual Dining"|"2pm to 10pm(Mon-Sun)"|"Good"|"3.5"|"21"
"New Monga Restaurant"|"500"|"North Indian,Chinese"|"Varanasi"|"Dashaswmedh Road"|"https://www.zomato.com/varanasi/new-monga-restaurant-dashaswmedh-road/info"|"12"|"Quick Bites"|"10am to 10pm(Mon-Sun)"|"Average"|"3.2"|"18"
"Baker Street"|"0"|"Desserts,Fast Food"|"Varanasi"|"Sigra"|"https://www.zomato.com/varanasi/baker-street-sigra/info"|"12"|"Bakery"|"9am to 10pm(Mon-Fri),11am to 12midnight..."|"Good"|"3.5"|"19"
"Namaskar The Bakery King"|"100"|"Bakery,Fast Food"|"Varanasi"|"Pandeypur"|"https://www.zomato.com/varanasi/namaskar-the-bakery-king-pandeypur/info"|"12"|"Bakery"|"12noon to 930pm(Mon-Sun)"|"Average"|"3.4"|"16"
"Shri Bhola"|"250"|"North Indian,Rolls"|"Varanasi"|"Lanka"|"https://www.zomato.com/varanasi/shri-bhola-lanka/info"|"12"|"Quick Bites"|"12noon to 10pm(Mon-Sun)"|"Average"|"3.4"|"13"
"Food Junction Family Restaurant"|"300"|"North Indian,Chinese"|"Varanasi"|"Pandeypur"|"https://www.zomato.com/varanasi/food-junction-family-restaurant-pandeypur/info"|"12"|"Casual Dining"|"1pm to 10pm(Mon-Sun)"|"Good"|"3.5"|"17"
"China Town Fast Food Roll Corner"|"250"|"Fast Food,Chinese"|"Varanasi"|"Jaitpura"|"https://www.zomato.com/varanasi/china-town-fast-food-roll-corner-jaitpura/info"|"12"|"Quick Bites"|"6pm to 10pm(Mon-Sun)"|"Good"|"3.5"|"18"
"Ambrosia Restaurant"|"500"|"North Indian"|"Varanasi"|"Sunderpur"|"https://www.zomato.com/varanasi/ambrosia-restaurant-sunderpur/info"|"12"|"Casual Dining"|"10am to 1030pm(Mon-Sun)"|"Good"|"3.6"|"98"
"Daddy's Nest"|"300"|"North Indian,Biryani"|"Varanasi"|"Lanka"|"https://www.zomato.com/varanasi/daddys-nest-lanka/info"|"12"|"none"|"12noon to 10pm(Mon-Sun)"|"Average"|"3.2"|"8"
"Shri Narayan Mishthan Bhandar"|"300"|"Mithai"|"Varanasi"|"Durgakund"|"https://www.zomato.com/varanasi/shri-narayan-mishthan-bhandar-durgakund/info"|"12"|"Sweet Shop"|"10am to 10pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Food Book"|"600"|"North Indian,Chinese,Continental"|"Varanasi"|"Sarnath"|"https://www.zomato.com/varanasi/food-book-sarnath/info"|"12"|"Quick Bites"|"2pm to 10pm(Mon-Sun)"|"Average"|"3.2"|"8"
"Masala Twist"|"350"|"Indian,Chinese"|"Varanasi"|"Sigra"|"https://www.zomato.com/varanasi/masala-twist-sigra/info"|"12"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Good"|"3.6"|"121"
"Foodies"|"450"|"Mughlai"|"Varanasi"|"Nadesar"|"https://www.zomato.com/varanasi/foodies-nadesar/info"|"12"|"Casual Dining"|"12noon to 11pm(Mon,Tue,Wed,Fri,Sat,Sun)..."|"Good"|"3.7"|"93"
"Vishal Bakers"|"100"|"Bakery,Desserts"|"Varanasi"|"Sigra"|"https://www.zomato.com/varanasi/vishal-bakers-sigra/info"|"12"|"Bakery"|"10am to 10pm(Mon-Sun)"|"Average"|"2.9"|"15"
"FreshNic"|"400"|"Juices"|"Varanasi"|"Lanka"|"https://www.zomato.com/varanasi/freshnic-lanka/info"|"12"|"Beverage Shop"|"9am to 5pm(Mon-Sat),9am to 12noon(Sun)"|"Average"|"3.3"|"17"
