"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"TAPRI"|"200"|"Juices,Italian,Burger"|"Vellore"|"Katpadi"|"https://www.zomato.com/vellore/tapri-2-katpadi/info"|"1"|"Beverage Shop"|"1pm to 1030pm(Mon-Sun)"|"Good"|"3.8"|"103"
"The Vellore Kitchen"|"500"|"Chinese,South Indian"|"Vellore"|"Thottapalayam"|"https://www.zomato.com/vellore/the-vellore-kitchen-thottapalayam/info"|"1"|"Casual Dining"|"630am to 11pm(Mon-Sun)"|"Baik"|"3.5"|"78"
"Domino's Pizza"|"700"|"Pizza"|"Vellore"|"Gandhi Nagar"|"https://www.zomato.com/vellore/dominos-pizza-gandhi-nagar/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.3"|"74"
"Earth Plate"|"1000"|"South Indian,North Indian,Chinese"|"Vellore"|"Thottapalayam"|"https://www.zomato.com/vellore/earth-plate-thottapalayam/info"|"1"|"Casual Dining"|"1230pm to 11pm(Mon-Sun)"|"Average"|"3.4"|"65"
"The Chocolate Room"|"500"|"Cafe,Desserts"|"Vellore"|"Katpadi"|"https://www.zomato.com/vellore/the-chocolate-room-katpadi/info"|"1"|"Café"|"11am to 1030pm(Mon-Sun)"|"Average"|"3.4"|"61"
"Vellore Biryani"|"500"|"South Indian,Biryani,Chinese,BBQ,Burger,Coffee and Tea,Continental,Fast Food"|"Vellore"|"Gandhi Nagar"|"https://www.zomato.com/vellore/vellore-biryani-gandhi-nagar/info"|"1"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.1"|"79"
"Fry Yo"|"350"|"Fast Food"|"Vellore"|"Thottapalayam"|"https://www.zomato.com/vellore/fry-yo-thottapalayam/info"|"1"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Biasa"|"3.4"|"85"
"Thangam Mess"|"250"|"Chettinad,South Indian"|"Vellore"|"Kosapet"|"https://www.zomato.com/vellore/thangam-mess-kosapet/info"|"1"|"Casual Dining"|"7am to 1030pm(Mon-Sun)"|"Average"|"3.4"|"32"
"China Town"|"400"|"Chinese,Thai"|"Vellore"|"Saidapet"|"https://www.zomato.com/vellore/china-town-saidapet/info"|"1"|"Casual Dining"|"12noon to 3pm,6pm to 11pm(Mon-Sun)"|"Average"|"3.3"|"48"
"The Drunken Monkey"|"300"|"Beverages,Sandwich,Wraps"|"Vellore"|"Katpadi"|"https://www.zomato.com/vellore/the-drunken-monkey-katpadi/info"|"1"|"Beverage Shop"|"8am to 11pm(Mon-Sun)"|"Good"|"3.5"|"36"
"Suvai Mess"|"250"|"South Indian"|"Vellore"|"Gandhi Nagar"|"https://www.zomato.com/vellore/suvai-mess-gandhi-nagar/info"|"1"|"Mess"|"7am to 1030pm(Mon-Sun)"|"Good"|"3.5"|"27"
"Rangalaya Royal"|"1000"|"South Indian,North Indian,Chinese,Continental,Italian"|"Vellore"|"Gandhi Nagar"|"https://www.zomato.com/vellore/rangalaya-royal-gandhi-nagar/info"|"1"|"Casual Dining"|"730am to 10am,7pm to 1030pm,1230pm to 330pm..."|"Average"|"3.2"|"17"
"Chick In Fried Chicken"|"350"|"Fast Food"|"Vellore"|"Katpadi"|"https://www.zomato.com/vellore/chick-in-fried-chicken-1-katpadi/info"|"1"|"Quick Bites"|"1030am to 1030pm(Mon-Sun)"|"Average"|"3.3"|"54"
"The Vellore Kitchen"|"350"|"Chettinad,South Indian,Chinese"|"Vellore"|"Kosapet"|"https://www.zomato.com/vellore/the-vellore-kitchen-kosapet/info"|"1"|"Casual Dining"|"630am to 11pm(Mon-Sun)"|"Average"|"3.2"|"53"
"Lassi Shop"|"250"|"Beverages"|"Vellore"|"Katpadi"|"https://www.zomato.com/vellore/lassi-shop-katpadi/info"|"1"|"Beverage Shop"|"11am to 11pm(Mon-Sun)"|"Good"|"3.5"|"38"
