"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Anupama Family Garden Restaurant"|"200"|"North Indian,Chinese,Biryani,Seafood"|"Vijayawada"|"Governorpet"|"https://www.zomato.com/vijayawada/anupama-family-garden-restaurant-governorpet/info"|"12"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Average"|"3.0"|"29"
"Dark  Stone"|"400"|"Ice Cream,Desserts,Beverages"|"Vijayawada"|"Gunadala"|"https://www.zomato.com/vijayawada/dark-stone-gunadala/info"|"12"|"Dessert Parlor"|"10am to 11pm(Mon-Sun)"|"Good"|"3.7"|"60"
"Continental Park Hotel"|"600"|"Continental,North Indian,Chinese"|"Vijayawada"|"Governorpet"|"https://www.zomato.com/vijayawada/continental-park-hotel-governorpet/info"|"12"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.9"|"60"
"Drunken Monkey"|"400"|"Sandwich,Beverages"|"Vijayawada"|"Labbipet"|"https://www.zomato.com/vijayawada/drunken-monkey-labbipet/info"|"12"|"Beverage Shop"|"9am to 12midnight(Mon-Sun)"|"Good"|"3.5"|"64"
"10 Downing Street"|"1500"|"Continental,North Indian,Chinese"|"Vijayawada"|"PVP Square Mall-- Labbipet"|"https://www.zomato.com/vijayawada/10-downing-street-labbipet/info"|"12"|"Casual Dining"|"12noon to 12midnight(Mon-Sun)"|"Good"|"3.9"|"54"
"Pabrai's Fresh & Naturelle Icecreams"|"300"|"Ice Cream,Desserts"|"Vijayawada"|"Labbipet"|"https://www.zomato.com/vijayawada/pabrais-fresh-naturelle-icecreams-labbipet/info"|"12"|"Dessert Parlor"|"10am to 11pm(Mon-Sun)"|"Very Good"|"4.1"|"54"
"The Frozen Creamery"|"250"|"Desserts"|"Vijayawada"|"Labbipet"|"https://www.zomato.com/vijayawada/the-frozen-creamery-labbipet/info"|"12"|"Dessert Parlor"|"1030am to 1030pm(Mon-Sun)"|"Good"|"3.8"|"64"
"Hotel Swarna Heights"|"200"|"Biryani,North Indian,South Indian,Chinese"|"Vijayawada"|"Labbipet"|"https://www.zomato.com/vijayawada/hotel-swarna-heights-1-labbipet/info"|"12"|"Casual Dining"|"8am to 1030pm(Mon-Sun)"|"Average"|"2.9"|"45"
"Ragada Wale"|"100"|"Fast Food"|"Vijayawada"|"Labbipet"|"https://www.zomato.com/vijayawada/ragada-wale-1-labbipet/info"|"12"|"Quick Bites"|"1pm to 11pm(Mon-Sun)"|"Average"|"2.7"|"17"
"Jaya Durga Takeaway"|"200"|"Biryani"|"Vijayawada"|"Labbipet"|"https://www.zomato.com/vijayawada/jaya-durga-takeaway-labbipet/info"|"12"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Good"|"3.7"|"42"
"The Shawarma Company"|"300"|"Fast Food"|"Vijayawada"|"Auto Nagar"|"https://www.zomato.com/vijayawada/the-shawarma-company-auto-nagar/info"|"12"|"Quick Bites"|"11am to 1230AM(Mon-Sun)"|"Good"|"3.8"|"21"
"New Chand Hotel"|"300"|"South Indian"|"Vijayawada"|"Islampet"|"https://www.zomato.com/vijayawada/new-chand-hotel-islampet/info"|"12"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.9"|"42"
"Hotel Ilapuram"|"800"|"Biryani,North Indian,South Indian,Chinese,Beverages"|"Vijayawada"|"Gandhi Nagar"|"https://www.zomato.com/vijayawada/hotel-ilapuram-gandhi-nagar/info"|"12"|"Casual Dining"|"7am to 11pm(Mon-Sun)"|"Good"|"3.5"|"52"
"Havmor Have Fun"|"200"|"Ice Cream,Beverages"|"Vijayawada"|"Labbipet"|"https://www.zomato.com/vijayawada/havmor-have-fun-labbipet/info"|"12"|"Dessert Parlor"|"1130am to 12midnight(Mon-Sun)"|"Good"|"3.5"|"48"
"The Charlie Chaplin Restaurant"|"800"|"North Indian,South Indian"|"Vijayawada"|"Labbipet"|"https://www.zomato.com/vijayawada/the-charlie-chaplin-restaurant-labbipet/info"|"12"|"Casual Dining"|"12noon to 1030pm(Mon),1130am to 1030pm(Tue-Sun)"|"Average"|"3.2"|"41"
