"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"KB Cafe"|"400"|"North Indian"|"Visakhapatnam"|"Waltair Uplands"|"https://www.zomato.com/visakhapatnam/kb-cafe-waltair-uplands-vizag/info"|"40"|"Quick Bites"|"630am to 11pm(Mon-Sun)"|"Average"|"3.1"|"4"
"Feeling Hungry"|"250"|"Chinese"|"Visakhapatnam"|"MVP Colony"|"https://www.zomato.com/visakhapatnam/feeling-hungry-1-mvp-colony-vizag/info"|"40"|"Quick Bites"|"12noon to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Party Fowl"|"250"|"Fast Food,Chinese,South Indian"|"Visakhapatnam"|"Akkayyapalem"|"https://www.zomato.com/visakhapatnam/party-fowl-akkayyapalem-vizag/info"|"40"|"Quick Bites"|"10am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Bamardi Biryani"|"300"|"Biryani"|"Visakhapatnam"|"Seethammadhara"|"https://www.zomato.com/visakhapatnam/bamardi-biryani-seethammadhara-vizag/info"|"40"|"none"|"12noon to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Waltair Kitchen - PL Grand"|"800"|"North Indian,Chinese,Continental,South Indian,Mexican,Italian,Desserts"|"Visakhapatnam"|"Siripuram"|"https://www.zomato.com/visakhapatnam/waltair-kitchen-pl-grand-siripuram-vizag/info"|"40"|"Casual Dining"|"8am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Sanjeevani Foods"|"300"|"North Indian"|"Visakhapatnam"|"Dondaparithy"|"https://www.zomato.com/visakhapatnam/sanjeevani-foods-dondaparithy-vizag/info"|"40"|"Quick Bites"|"12noon to 4pm,6pm to 11pm(Mon-Sun)"|"Average"|"3.2"|"5"
"Sri Bhargavi Mini Family Restaurant"|"150"|"Biryani,Chinese"|"Visakhapatnam"|"Maddilapalem"|"https://www.zomato.com/visakhapatnam/sri-bhargavi-mini-family-restaurant-maddilapalem-vizag/info"|"40"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"FCB-Famous Cashew Chicken Dum Biryani"|"350"|"Biryani"|"Visakhapatnam"|"Chinna Waltair"|"https://www.zomato.com/visakhapatnam/fcb-famous-cashew-chicken-dum-biryani-chinna-waltair-vizag/info"|"40"|"none"|"1030am to 12midnight(Mon-Sun)"|"None"|"NEW"|"NEW"
"New York Slice"|"800"|"Pizza,Fast Food"|"Visakhapatnam"|"Waltair Uplands"|"https://www.zomato.com/visakhapatnam/new-york-slice-waltair-uplands-vizag/info"|"40"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Curry Kitchen"|"400"|"Indian"|"Visakhapatnam"|"Dondaparithy"|"https://www.zomato.com/visakhapatnam/curry-kitchen-dondaparithy-vizag/info"|"40"|"Quick Bites"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Bezawada Home Foods & Bakery"|"600"|"Bakery,South Indian,Chinese,Biryani"|"Visakhapatnam"|"Maharani Peta"|"https://www.zomato.com/visakhapatnam/bezawada-home-foods-bakery-maharani-peta-vizag/info"|"40"|"Bakery"|"8am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"The American Shakes"|"150"|"Beverages"|"Visakhapatnam"|"Chitralaya Mall-- Jagadamba Junction"|"https://www.zomato.com/visakhapatnam/the-american-shakes-jagadamba-junction-vizag/info"|"40"|"none"|"11am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Habibi"|"200"|"Arabian"|"Visakhapatnam"|"MVP Colony"|"https://www.zomato.com/visakhapatnam/habibi-mvp-colony-vizag/info"|"40"|"Food Court"|"6pm to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
"Big Bite Club"|"200"|"North Indian,Chinese"|"Visakhapatnam"|"Asilmetta"|"https://www.zomato.com/visakhapatnam/big-bite-club-asilmetta-vizag/info"|"40"|"Quick Bites"|"12noon to 3pm,5pm to 12midnight(Mon-Sun)"|"None"|"NEW"|"NEW"
"MVR Food Court"|"200"|"North Indian,South Indian"|"Visakhapatnam"|"Gajuwaka"|"https://www.zomato.com/visakhapatnam/mvr-food-court-gajuwaka-vizag/info"|"40"|"Quick Bites"|"8am to 11pm(Mon-Sun)"|"Not rated"|"-"|"-"
